record_set,gm_id,base_eq_id,pga_g,path,eligibility_rule
FFext,TCU070-N,,0.168675,data/gm_ffext/TCU070-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU070-V,,0.0850859,data/gm_ffext/TCU070-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU095-E,,0.378512,data/gm_ffext/TCU095-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU095-N,,0.711632,data/gm_ffext/TCU095-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU095-V,,0.254833,data/gm_ffext/TCU095-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU109-E,,0.155791,data/gm_ffext/TCU109-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU109-N,,0.155133,data/gm_ffext/TCU109-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU109-V,,0.137491,data/gm_ffext/TCU109-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU110-E,,0.180392,data/gm_ffext/TCU110-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU110-N,,0.179814,data/gm_ffext/TCU110-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU110-V,,0.121733,data/gm_ffext/TCU110-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU117-E,,0.119099,data/gm_ffext/TCU117-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU117-N,,0.120314,data/gm_ffext/TCU117-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU117-V,,0.0878677,data/gm_ffext/TCU117-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU128-E,,0.13933,data/gm_ffext/TCU128-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU128-N,,0.170235,data/gm_ffext/TCU128-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU128-V,,0.0973193,data/gm_ffext/TCU128-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,WGK-E,,0.333811,data/gm_ffext/WGK-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,WGK-N,,0.48374,data/gm_ffext/WGK-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,WGK-V,,0.180103,data/gm_ffext/WGK-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,YER270,,0.244803,data/gm_ffext/YER270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,YER360,,0.151528,data/gm_ffext/YER360.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
