gm_set,gm_id,path,dt,npts,pga_g
P695_FF22_AT2_original,TCU095-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU095-N.AT2,0.005,18000.0,0.711632
P695_FF22_AT2_original,TCU095-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU095-V.AT2,0.005,18000.0,0.254833
P695_FF22_AT2_original,TCU109-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU109-E.AT2,0.005,18000.0,0.155791
P695_FF22_AT2_original,TCU109-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU109-N.AT2,0.005,18000.0,0.155133
P695_FF22_AT2_original,TCU109-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU109-V.AT2,0.005,18000.0,0.137491
P695_FF22_AT2_original,TCU110-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU110-E.AT2,0.005,18000.0,0.180392
P695_FF22_AT2_original,TCU110-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU110-N.AT2,0.005,18000.0,0.179814
P695_FF22_AT2_original,TCU110-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU110-V.AT2,0.005,18000.0,0.121733
P695_FF22_AT2_original,TCU117-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU117-E.AT2,0.005,18000.0,0.119099
P695_FF22_AT2_original,TCU117-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU117-N.AT2,0.005,18000.0,0.120314
P695_FF22_AT2_original,TCU117-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU117-V.AT2,0.005,18000.0,0.0878677
P695_FF22_AT2_original,TCU128-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU128-E.AT2,0.005,18000.0,0.13933
P695_FF22_AT2_original,TCU128-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU128-N.AT2,0.005,18000.0,0.170235
P695_FF22_AT2_original,TCU128-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU128-V.AT2,0.005,18000.0,0.0973193
P695_FF22_AT2_original,BOL-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/DUZCE/BOL-UP.AT2,0.01,5590.0,0.202549
P695_FF22_AT2_original,BOL000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/DUZCE/BOL000.AT2,0.01,5590.0,0.727581
P695_FF22_AT2_original,BOL090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/DUZCE/BOL090.AT2,0.01,5590.0,0.822429
P695_FF22_AT2_original,A-TMZ-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/FRIULI/A-TMZ-UP.AT2,0.005,7269.0,0.267609
P695_FF22_AT2_original,A-TMZ000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/FRIULI/A-TMZ000.AT2,0.005,7269.0,0.351329
P695_FF22_AT2_original,A-TMZ270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/FRIULI/A-TMZ270.AT2,0.005,7269.0,0.314809
P695_FF22_AT2_original,HEC000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/HECTOR/HEC000.AT2,0.01,4531.0,0.26558
